Predicted duration,1.5,,,
Predicted error,0.8,,,
Predicted start,08:37:31,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
141,[08:35:20.2331534],14508,665356,852192
142,[08:35:20.5836319],18732,654047,775957
143,[08:35:20.9341104],12506,698782,795025
144,[08:35:21.2845943],9887,660628,810823
145,[08:35:21.6350728],14513,653087,802188
146,[08:35:21.9855513],25063,693313,847728
147,[08:35:22.3360352],22481,664229,779340
148,[08:35:22.6865137],24306,674991,803440
149,[08:35:23.0369977],16653,682318,870178
150,[08:35:23.3874761],16777,685555,758972
151,[08:35:23.7379546],20012,681260,764737
152,[08:35:24.0884386],11133,655710,839245
153,[08:35:24.4389170],6760,670402,804098
154,[08:35:24.7893955],14555,683906,751110
155,[08:35:25.1398795],13686,644886,786106
156,[08:35:25.4903579],12726,704786,818507
157,[08:35:25.8408364],21618,666140,817838
158,[08:35:26.1913204],19356,661896,806155
159,[08:35:26.5417988],14316,647733,825163
160,[08:35:26.8922773],17700,637604,825188
161,[08:35:27.2427613],13382,671432,861726
162,[08:35:27.5932398],19810,657796,832457
163,[08:35:27.9437182],11915,684897,824388
164,[08:35:28.2942022],23979,647753,799161
165,[08:35:28.6446807],21358,660372,792833
166,[08:35:28.9951591],11723,664729,824658
167,[08:35:29.3456431],17545,666806,853412
168,[08:35:29.6961216],12805,661849,818407
169,[08:35:30.0466054],13971,717768,853303
170,[08:35:30.3970839],16831,638582,783599
171,[08:35:30.7475624],10844,701447,834385
172,[08:35:31.0980463],25866,629313,791554
173,[08:35:31.4485248],15282,629548,825248
174,[08:35:31.7990033],15136,699738,865474
175,[08:35:32.1494874],10883,612672,824880
176,[08:35:32.4999658],15109,703351,788328
177,[08:35:32.8504443],16440,648616,811400
178,[08:35:33.2009282],21270,694609,829354
179,[08:35:33.5514066],6767,651909,800082
180,[08:35:33.9018851],23143,719949,794099
181,[08:35:34.2523691],16333,686103,816210
182,[08:35:34.6028476],9321,649120,802400
183,[08:35:34.9533260],22040,669183,817707
184,[08:35:35.3038100],6993,687928,800643
185,[08:35:35.6542885],14686,683735,767777
186,[08:35:36.0047724],20056,674177,844783
187,[08:35:36.3552509],8855,632725,822691
188,[08:35:36.7057294],15349,669835,822881
189,[08:35:37.0562134],14400,705432,822636
190,[08:35:37.4066918],22036,693937,832202
191,[08:35:37.7571703],11890,705380,827237
192,[08:35:38.1076543],22916,667917,795874
193,[08:35:38.4581328],21356,663081,833964
194,[08:35:38.8086112],18774,684176,806190
195,[08:35:39.1590952],28642,652943,795269
196,[08:35:39.5095737],9123,655946,834198
197,[08:35:39.8600522],18536,675543,799587
198,[08:35:40.2105361],16430,710880,822126
199,[08:35:40.5610146],11657,689134,846637
200,[08:35:40.9114931],12929,664557,843283
201,[08:35:41.2619770],12632,673900,831716
202,[08:35:41.6124554],10601,692744,795131
203,[08:35:41.9629339],13830,681427,814113
204,[08:35:42.3134179],8290,684820,862772
205,[08:35:42.6638964],10937,677322,793711
206,[08:35:43.0143803],12671,681360,835156
207,[08:35:43.3648588],16506,684679,853007
208,[08:35:43.7153373],10986,673290,840534
209,[08:35:44.0658213],25821,677489,796966
210,[08:35:44.4162997],13682,659897,853484
211,[08:35:44.7667782],5449,668973,814551
212,[08:35:45.1172622],19945,676134,863840
213,[08:35:45.4677407],10366,682433,796196
214,[08:35:45.8182191],25089,631902,825698
