Predicted duration,6.0,,,
Predicted error,0.5,,,
Predicted start,04:22:42,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1
156,[04:21:50.1548529],1083319,100894
157,[04:21:50.2048459],1077931,97001
158,[04:21:50.2549927],1027280,94040
159,[04:21:50.3048960],1065020,91077
160,[04:21:50.3550987],1080835,89498
161,[04:21:50.4051967],1073029,96696
162,[04:21:50.4551462],1052334,93591
163,[04:21:50.5054925],1061738,91529
164,[04:21:50.5557113],1072149,91824
165,[04:21:50.6052494],1073688,93577
166,[04:21:50.6557310],1086362,86807
167,[04:21:50.7073536],1069924,87538
168,[04:21:50.7559254],1070276,85563
169,[04:21:50.8059534],1078882,84946
170,[04:21:50.8558107],1075460,95261
171,[04:21:50.9064375],1054813,95255
172,[04:21:50.9560914],1123584,90835
173,[04:21:51.0063512],1051322,93463
174,[04:21:51.0560297],1078912,93921
175,[04:21:51.1062173],1082540,96310
176,[04:21:51.1562859],1055155,95305
177,[04:21:51.2063134],1009944,90986
178,[04:21:51.2564943],1019587,94675
179,[04:21:51.3064918],1159018,94532
180,[04:21:51.3566812],1109767,85073
181,[04:21:51.4068068],1028209,92115
182,[04:21:51.4567229],1081308,92469
183,[04:21:51.5068250],1101438,85554
184,[04:21:51.5569925],1129979,88036
185,[04:21:51.6072200],1084106,83927
186,[04:21:51.6570938],1058073,91974
187,[04:21:51.7071794],1025918,93030
188,[04:21:51.7571396],1040533,90396
189,[04:21:51.8073348],1047008,88821
190,[04:21:51.8573785],1072614,87428
191,[04:21:51.9094784],1031496,91818
192,[04:21:51.9573464],1115625,92453
193,[04:21:52.0074368],1015954,88485
194,[04:21:52.0576732],1077864,93561
195,[04:21:52.1079141],1115287,95580
196,[04:21:52.1580276],1026158,92273
197,[04:21:52.2077778],1082200,97794
198,[04:21:52.2579581],1063729,87983
199,[04:21:52.3079821],1085852,97859
200,[04:21:52.3580759],1067406,97099
201,[04:21:52.4082057],1037635,90596
202,[04:21:52.4581181],1060214,96506
203,[04:21:52.5084568],1081571,92678
204,[04:21:52.5583546],1038789,89770
