Predicted duration,0.5,,,
Predicted error,6.6,,,
Predicted start,07:01:55,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
135,[07:01:16.3981079],41712,4937227,101639
136,[07:01:16.5496862],39287,5183627,116939
137,[07:01:16.6982401],45221,4506382,119839
138,[07:01:16.8499672],36909,5649719,120865
139,[07:01:17.0011253],39510,4862392,113716
140,[07:01:17.1484010],35428,5576057,113975
141,[07:01:17.3005920],42527,5026049,97974
142,[07:01:17.4489489],44328,5098317,107880
143,[07:01:17.5993581],45027,4831583,108514
144,[07:01:17.7517628],34427,5080960,110597
145,[07:01:17.9011293],34241,4573345,111486
146,[07:01:18.0495187],36675,5133154,112985
147,[07:01:18.2011563],39045,5261362,117072
148,[07:01:18.3495722],38380,5167829,107210
149,[07:01:18.5002438],36789,4650486,119803
150,[07:01:18.6510366],31640,5147746,113482
151,[07:01:18.7995761],38732,5130996,120912
152,[07:01:18.9510887],34796,4946765,116567
153,[07:01:19.0998321],36517,5029645,116616
154,[07:01:19.2499222],45532,4908909,105818
155,[07:01:19.3997947],37055,5048627,106792
156,[07:01:19.5514166],30916,4699769,111750
157,[07:01:19.7015436],45002,5523605,106700
158,[07:01:19.8512318],45488,5097381,114685
159,[07:01:20.0018123],47115,5105038,103504
160,[07:01:20.1522290],40401,5124535,111114
161,[07:01:20.3003279],36671,5143051,99943
162,[07:01:20.4503479],36343,4780054,102957
163,[07:01:20.6009585],39865,4796429,110523
164,[07:01:20.7523580],31366,4805483,108389
165,[07:01:20.9009517],39863,4623110,107536
166,[07:01:21.0506919],40929,5167652,124809
167,[07:01:21.2011373],40418,5177782,117009
168,[07:01:21.3531406],44879,4850969,110680
169,[07:01:21.5008144],41679,5172611,99821
170,[07:01:21.6523261],31426,5229447,119429
171,[07:01:21.8033905],40583,4988155,104415
172,[07:01:21.9511095],41481,5301276,106721
173,[07:01:22.1020410],41729,4812933,137948
174,[07:01:22.2516096],45810,4594471,103531
175,[07:01:22.4024912],35063,4580118,110650
176,[07:01:22.5532986],43703,4474583,115864
177,[07:01:22.7021438],42830,5018856,119203
178,[07:01:22.8531758],40640,4908424,118199
179,[07:01:23.0033393],41746,4578005,102618
180,[07:01:23.1518107],38702,4754768,123095
181,[07:01:23.3018540],41776,4950843,116370
182,[07:01:23.4552457],41437,4795143,107162
183,[07:01:23.6019246],45743,5358184,109845
