Predicted duration,5.0,,,
Predicted error,3.8,,,
Predicted start,04:57:35,,,
Notes,starts from frame 92,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
234,[04:57:16.2208529],2915,14612,232357
235,[04:57:16.6211323],2422,10067,230700
236,[04:57:17.0209063],1693,16031,253194
237,[04:57:17.4215056],2941,20889,203143
238,[04:57:17.8211648],3304,18883,217377
239,[04:57:18.2213968],2250,21281,233790
240,[04:57:18.6212118],656,16336,235514
241,[04:57:19.0214482],1400,13472,222107
242,[04:57:19.4212424],1759,15928,253792
243,[04:57:19.8219541],3430,9673,277292
244,[04:57:20.2214708],2617,21966,239285
245,[04:57:20.6227216],1667,20024,261265
246,[04:57:21.0220961],3209,10009,256834
247,[04:57:21.4223383],2384,13492,293844
248,[04:57:21.8217132],4236,32684,254903
249,[04:57:22.2223351],4049,24002,232503
250,[04:57:22.6221878],2239,31866,222176
251,[04:57:23.0224745],3654,22773,225203
252,[04:57:23.4225997],2639,15645,208814
253,[04:57:23.8232724],603,20364,285954
254,[04:57:24.2221790],2775,26324,223679
255,[04:57:24.6227595],2528,22694,220848
256,[04:57:25.0227668],1907,24771,219382
257,[04:57:25.4228689],3158,20124,180731
258,[04:57:25.8228016],2167,14857,257560
259,[04:57:26.2230212],904,33328,229421
260,[04:57:26.6230834],1340,32184,249015
261,[04:57:27.0226673],916,18908,267812
262,[04:57:27.4231939],3639,21877,235163
263,[04:57:27.8234028],2949,34779,242049
264,[04:57:28.2233337],1693,31727,224700
265,[04:57:28.6236327],1944,33470,261727
266,[04:57:29.0236699],2468,32401,247157
267,[04:57:29.4238848],1598,20943,239679
268,[04:57:29.8236713],2463,30700,250056
269,[04:57:30.2235974],1895,23888,216583
270,[04:57:30.6240108],771,8345,281918
271,[04:57:31.0237694],1520,20159,240062
272,[04:57:31.4238584],3858,20990,278607
273,[04:57:31.8240598],1882,33902,246136
274,[04:57:32.2243512],5058,34773,236707
275,[04:57:32.6241249],2625,23753,278372
276,[04:57:33.0243033],3222,29281,293657
277,[04:57:33.4243781],2617,27666,257836
278,[04:57:33.8243321],1679,33129,259206
279,[04:57:34.2240718],3140,36474,258553
280,[04:57:34.6250681],1740,26505,225487
281,[04:57:35.0243038],-334,30432,242919
282,[04:57:35.4249887],-925,16273,227348
283,[04:57:35.8247447],310,25167,259579
284,[04:57:36.2251374],393,21825,251349
285,[04:57:36.6248090],-645,27092,251556
286,[04:57:37.0253405],735,38624,285926
287,[04:57:37.4249680],-688,27473,233690
288,[04:57:37.8251838],-482,18442,260832
289,[04:57:38.2252035],198,22004,262854
290,[04:57:38.6258416],612,27722,240912
291,[04:57:39.0251444],858,33546,240329
292,[04:57:39.4254840],1477,17796,254014
293,[04:57:39.8254270],3386,24394,247149
294,[04:57:40.2258912],3334,30582,308579
295,[04:57:40.6258164],3070,27781,248570
296,[04:57:41.0256496],1145,29673,237199
297,[04:57:41.4259273],1721,30206,266480
298,[04:57:41.8258237],3018,19472,243267
299,[04:57:42.2260630],1605,33767,276369
300,[04:57:42.6262410],4355,27384,314575
301,[04:57:43.0261520],1910,27917,231191
302,[04:57:43.4259254],2361,38957,216937
303,[04:57:43.8265626],2993,47611,281758
304,[04:57:44.2266301],2151,21001,246381
305,[04:57:44.6267043],3021,23617,222451
306,[04:57:45.0267352],2298,23135,226146
307,[04:57:45.4268192],2118,26384,219449
308,[04:57:45.8270223],2390,24327,261486
309,[04:57:46.2267703],2188,13221,270529
310,[04:57:46.6266918],3160,25650,236242
311,[04:57:47.0268635],2430,8753,246839
312,[04:57:47.4278608],2571,7841,288042
313,[04:57:47.8270235],3255,12273,244262
314,[04:57:48.2272953],4257,26140,264293
315,[04:57:48.6284504],3042,31592,228619
316,[04:57:49.0281509],4410,32587,244718
317,[04:57:49.4272503],1400,25901,311777
318,[04:57:49.8276768],3290,29263,256702
319,[04:57:50.2275533],3258,23702,253913
320,[04:57:50.6276197],3237,19372,223163
321,[04:57:51.0274979],3088,20050,243713
322,[04:57:51.4280894],3955,18256,214382
323,[04:57:51.8285173],2860,18293,214716
324,[04:57:52.2290301],2760,29348,240082
325,[04:57:52.6294679],3012,7640,176775
326,[04:57:53.0298096],1466,19031,236351
327,[04:57:53.4293977],2460,22747,253292
328,[04:57:53.8290584],2117,15680,257062
329,[04:57:54.2298940],1143,14726,238969
330,[04:57:54.6295900],1317,22291,236560
331,[04:57:55.0299676],2303,22314,212738
332,[04:57:55.4292730],-267,22818,198598
333,[04:57:55.8298529],2103,7630,196978
334,[04:57:56.2293447],948,20818,176124
335,[04:57:56.6299116],80,17183,180518
336,[04:57:57.0296166],763,13823,132101
337,[04:57:57.4305736],785,15700,175790
338,[04:57:57.8300057],1662,18074,167566
339,[04:57:58.2307126],-162,19123,175494
340,[04:57:58.6298164],1884,15739,277168
341,[04:57:59.0307215],813,13859,234658
342,[04:57:59.4313202],1904,20031,247199
343,[04:57:59.8307153],1707,26826,248619
344,[04:58:00.2312281],1195,10961,183484
345,[04:58:00.6313481],1322,19741,168049
346,[04:58:01.0310062],1140,21262,108451
347,[04:58:01.4311649],1024,11957,93423
348,[04:58:01.8316963],1163,14564,169723
349,[04:58:02.2307560],-105,12670,90908
350,[04:58:02.6309611],1460,15035,88950
351,[04:58:03.0307685],-112,13141,37536
352,[04:58:03.4317356],-185,6223,27625
353,[04:58:03.8317944],1509,3927,36680
354,[04:58:04.2310135],-592,5154,37782
355,[04:58:04.6311980],622,12923,95338
356,[04:58:05.0315825],967,9447,35881
357,[04:58:05.4315421],849,8795,122870
358,[04:58:05.8313722],1521,17027,81248
359,[04:58:06.2316115],361,10530,40705
360,[04:58:06.6315038],-474,6154,26260
361,[04:58:07.0317410],1053,7973,36471
362,[04:58:07.4315136],764,9060,36835
