Predicted duration,1.4,,,
Predicted error,5.9,,,
Predicted start,00:48:20,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
164,[00:46:39.3085355],81,66,73
165,[00:46:39.4075785],78,73,66
166,[00:46:39.5079154],36,72,59
167,[00:46:39.6077665],47,75,60
168,[00:46:39.7080879],48,63,68
169,[00:46:39.8087843],40,58,68
170,[00:46:39.9079582],56,74,61
171,[00:46:40.0080227],66,77,68
172,[00:46:40.1088762],43,52,44
173,[00:46:40.2098364],56,60,50
174,[00:46:40.3082530],60,58,56
175,[00:46:40.4094784],38,79,52
176,[00:46:40.5084209],20,63,38
177,[00:46:40.6085791],15,40,38
178,[00:46:40.7098776],-2,55,76
179,[00:46:40.8084800],39,80,61
180,[00:46:40.9085079],59,63,60
181,[00:46:41.0088142],32,60,58
182,[00:46:41.1092993],54,64,49
183,[00:46:41.2095284],36,61,52
184,[00:46:41.3090893],53,50,55
185,[00:46:41.4089983],53,68,76
186,[00:46:41.5092409],66,60,63
187,[00:46:41.6099487],56,74,64
188,[00:46:41.7098405],72,65,68
189,[00:46:41.8095318],53,72,49
190,[00:46:41.9094411],65,45,68
191,[00:46:42.0094598],62,72,43
192,[00:46:42.1094797],61,69,53
193,[00:46:42.2116343],45,57,50
194,[00:46:42.3096237],34,78,41
195,[00:46:42.4101968],57,80,32
196,[00:46:42.5100861],45,43,60
197,[00:46:42.6113807],48,56,58
198,[00:46:42.7114345],55,80,57
199,[00:46:42.8101455],76,72,46
200,[00:46:42.9113348],62,67,59
201,[00:46:43.0101674],69,36,39
202,[00:46:43.1102697],66,79,55
203,[00:46:43.2103732],43,79,45
204,[00:46:43.3105133],26,32,35
205,[00:46:43.4106488],67,72,46
206,[00:46:43.5120052],57,61,50
207,[00:46:43.6113535],34,60,46
208,[00:46:43.7124905],49,70,60
209,[00:46:43.8106655],35,65,57
210,[00:46:43.9121550],48,51,54
211,[00:46:44.0122553],41,60,50
212,[00:46:44.1111436],47,73,34
213,[00:46:44.2122799],53,81,55
214,[00:46:44.3124086],34,69,34
215,[00:46:44.4111139],44,56,30
216,[00:46:44.5112126],43,72,37
217,[00:46:44.6118710],38,68,49
218,[00:46:44.7120541],35,52,57
219,[00:46:44.8117228],63,75,50
220,[00:46:44.9117965],65,58,65
221,[00:46:45.0131510],55,83,52
222,[00:46:45.1118724],55,66,58
223,[00:46:45.2133746],68,71,45
224,[00:46:45.3119839],54,29,70
225,[00:46:45.4123994],57,37,68
226,[00:46:45.5131675],73,75,64
227,[00:46:45.6121337],66,79,69
228,[00:46:45.7132922],60,72,69
229,[00:46:45.8124366],57,70,63
230,[00:46:45.9123692],30,74,67
231,[00:46:46.0139046],49,35,72
232,[00:46:46.1125210],55,81,64
233,[00:46:46.2139057],71,84,58
234,[00:46:46.3133601],48,51,49
235,[00:46:46.4129328],49,72,69
236,[00:46:46.5148941],77,48,46
237,[00:46:46.6126858],59,36,58
238,[00:46:46.7129697],35,65,49
239,[00:46:46.8130300],60,37,60
240,[00:46:46.9142295],63,35,51
241,[00:46:47.0131584],57,39,65
242,[00:46:47.1146123],12,63,63
243,[00:46:47.2140799],51,62,78
244,[00:46:47.3134105],43,70,55
245,[00:46:47.4146732],49,41,50
246,[00:46:47.5141982],51,63,58
247,[00:46:47.6151740],40,64,66
248,[00:46:47.7151401],38,54,60
249,[00:46:47.8148693],53,82,59
250,[00:46:47.9144203],58,60,48
251,[00:46:48.0138295],59,67,49
252,[00:46:48.1144822],61,70,63
253,[00:46:48.2168390],42,73,48
254,[00:46:48.3143494],46,73,59
255,[00:46:48.4141721],76,75,41
256,[00:46:48.5153038],68,40,65
257,[00:46:48.6143865],48,32,44
258,[00:46:48.7146662],50,30,68
259,[00:46:48.8145628],54,67,43
260,[00:46:48.9151218],48,62,66
261,[00:46:49.0156446],68,37,67
262,[00:46:49.1145935],73,70,72
263,[00:46:49.2148840],58,80,62
264,[00:46:49.3149201],39,42,64
265,[00:46:49.4165072],80,33,50
266,[00:46:49.5150283],78,84,63
267,[00:46:49.6163543],31,58,57
268,[00:46:49.7153618],55,55,33
269,[00:46:49.8167844],59,65,33
270,[00:46:49.9154962],37,54,59
271,[00:46:50.0166039],60,75,77
272,[00:46:50.1154061],75,64,81
273,[00:46:50.2153737],59,75,78
274,[00:46:50.3156606],65,78,58
275,[00:46:50.4163098],76,66,74
276,[00:46:50.5173131],66,38,70
277,[00:46:50.6165556],70,73,30
278,[00:46:50.7159661],40,47,65
279,[00:46:50.8171282],49,69,68
280,[00:46:50.9162119],50,65,57
281,[00:46:51.0162930],56,71,75
282,[00:46:51.1180474],74,76,64
283,[00:46:51.2163524],65,33,56
284,[00:46:51.3180960],50,67,38
285,[00:46:51.4182023],65,38,61
286,[00:46:51.5165522],77,69,65
287,[00:46:51.6182625],48,44,60
288,[00:46:51.7171915],84,69,32
289,[00:46:51.8170186],73,69,79
290,[00:46:51.9169961],78,74,51
291,[00:46:52.0168671],35,73,44
292,[00:46:52.1169404],69,69,64
293,[00:46:52.2177222],41,53,64
294,[00:46:52.3174511],76,74,57
295,[00:46:52.4178137],67,61,59
296,[00:46:52.5174310],53,79,57
297,[00:46:52.6185134],68,74,50
298,[00:46:52.7175564],74,74,72
299,[00:46:52.8175668],78,63,67
300,[00:46:52.9174832],61,76,47
301,[00:46:53.0190877],64,72,51
302,[00:46:53.1178754],35,47,42
303,[00:46:53.2184212],38,66,40
304,[00:46:53.3181437],43,70,60
305,[00:46:53.4180898],64,64,67
306,[00:46:53.5180420],21,63,57
307,[00:46:53.6187620],16,73,58
308,[00:46:53.7181919],43,49,48
309,[00:46:53.8194667],14,55,46
310,[00:46:53.9185659],43,77,56
311,[00:46:54.0196845],44,72,56
312,[00:46:54.1191477],45,48,54
313,[00:46:54.2198696],59,72,57
314,[00:46:54.3184977],35,62,71
315,[00:46:54.4203023],70,58,71
316,[00:46:54.5195727],16,46,80
317,[00:46:54.6189098],30,57,59
318,[00:46:54.7194070],26,61,78
319,[00:46:54.8190889],12,77,79
320,[00:46:54.9203020],21,62,56
321,[00:46:55.0205487],46,65,63
322,[00:46:55.1205793],11,78,71
323,[00:46:55.2196657],37,53,67
324,[00:46:55.3194234],50,65,57
325,[00:46:55.4197469],43,67,53
326,[00:46:55.5193629],54,75,58
327,[00:46:55.6208656],19,63,57
328,[00:46:55.7197641],19,81,70
329,[00:46:55.8199788],15,72,53
330,[00:46:55.9202368],6,64,58
331,[00:46:56.0205050],54,79,60
332,[00:46:56.1213882],44,61,66
333,[00:46:56.2217530],43,35,78
334,[00:46:56.3202150],71,59,76
335,[00:46:56.4206967],81,81,48
336,[00:46:56.5201171],60,76,63
337,[00:46:56.6212636],75,48,74
338,[00:46:56.7205132],49,39,77
339,[00:46:56.8217359],37,76,48
340,[00:46:56.9206418],47,31,66
341,[00:46:57.0207257],63,77,75
342,[00:46:57.1212843],34,71,54
343,[00:46:57.2208338],40,73,54
344,[00:46:57.3208978],44,66,75
345,[00:46:57.4210642],37,78,68
346,[00:46:57.5220419],50,31,39
347,[00:46:57.6217635],68,69,64
348,[00:46:57.7213497],60,35,75
349,[00:46:57.8223100],60,72,52
350,[00:46:57.9215855],65,32,62
351,[00:46:58.0213198],55,47,65
352,[00:46:58.1219856],54,67,59
353,[00:46:58.2220667],43,62,66
354,[00:46:58.3216867],38,65,51
355,[00:46:58.4221653],27,55,68
356,[00:46:58.5223909],70,48,52
357,[00:46:58.6228527],34,50,45
358,[00:46:58.7225935],30,40,65
359,[00:46:58.8226626],53,71,45
360,[00:46:58.9225805],27,53,79
361,[00:46:59.0225068],17,65,50
362,[00:46:59.1225850],6,45,67
363,[00:46:59.2221359],0,45,54
364,[00:46:59.3230729],10,54,63
365,[00:46:59.4226367],12,59,52
366,[00:46:59.5227305],4,65,67
367,[00:46:59.6245990],47,40,58
368,[00:46:59.7228833],16,48,66
369,[00:46:59.8225099],8,56,61
370,[00:46:59.9226959],10,68,50
371,[00:47:00.0245440],32,44,29
372,[00:47:00.1228900],47,56,63
373,[00:47:00.2231333],34,59,65
374,[00:47:00.3229967],52,64,76
375,[00:47:00.4232463],61,62,62
376,[00:47:00.5234998],34,63,62
377,[00:47:00.6233781],45,56,55
378,[00:47:00.7245643],42,47,55
379,[00:47:00.8234522],49,55,62
380,[00:47:00.9237322],29,48,65
381,[00:47:01.0252743],25,52,68
382,[00:47:01.1237217],49,58,69
383,[00:47:01.2252647],51,67,69
384,[00:47:01.3238928],73,64,84
385,[00:47:01.4239741],55,64,50
386,[00:47:01.5241764],74,75,71
387,[00:47:01.6260102],60,68,65
388,[00:47:01.7244268],45,59,74
389,[00:47:01.8254338],44,29,55
390,[00:47:01.9245094],49,77,68
391,[00:47:02.0257340],42,67,59
392,[00:47:02.1262878],51,52,63
393,[00:47:02.2248734],24,51,58
394,[00:47:02.3250953],51,43,55
395,[00:47:02.4248762],29,67,52
396,[00:47:02.5247731],30,65,72
397,[00:47:02.6249003],54,62,50
398,[00:47:02.7258072],43,72,59
399,[00:47:02.8253705],34,73,50
400,[00:47:02.9268970],60,83,58
401,[00:47:03.0259444],67,83,49
402,[00:47:03.1259011],70,37,82
403,[00:47:03.2264428],51,58,52
404,[00:47:03.3261313],66,61,56
405,[00:47:03.4256973],78,30,68
406,[00:47:03.5263202],78,71,51
407,[00:47:03.6267676],48,59,54
408,[00:47:03.7266690],72,70,63
409,[00:47:03.8257333],63,84,62
