Predicted duration,0.6,,,
Predicted error,1.8,,,
Predicted start,00:57:44,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
141,[00:56:51.5131952],8553,52587,31161
142,[00:56:51.5863146],9779,50527,29520
143,[00:56:51.6611545],8874,54414,34649
144,[00:56:51.7362171],9569,51695,35437
145,[00:56:51.8119608],11258,58832,32793
146,[00:56:51.8864582],9360,48726,32610
147,[00:56:51.9606919],9320,53826,30310
148,[00:56:52.0366455],7364,51029,29939
149,[00:56:52.1119706],10748,56264,34089
150,[00:56:52.1872918],8829,57136,37361
151,[00:56:52.2619973],9357,50078,28826
152,[00:56:52.3363940],8029,51183,31683
153,[00:56:52.4115644],8056,51688,30868
154,[00:56:52.4861892],11076,51367,34189
155,[00:56:52.5613258],10196,49075,32999
156,[00:56:52.6369742],11251,52155,26705
157,[00:56:52.7115880],7244,48724,30210
158,[00:56:52.7867159],11171,53137,32393
159,[00:56:52.8616575],9302,54338,30763
160,[00:56:52.9369441],10060,49083,32805
161,[00:56:53.0123059],8121,58064,28659
162,[00:56:53.0871490],11090,55193,30232
163,[00:56:53.1622198],12011,52929,36586
164,[00:56:53.2370955],11112,49663,27905
165,[00:56:53.3122068],10688,51249,30688
166,[00:56:53.3879484],8513,47513,34641
167,[00:56:53.4623278],8803,44844,31241
168,[00:56:53.5376079],10543,53192,41327
169,[00:56:53.6123696],10796,53083,33928
170,[00:56:53.6882453],11176,51081,30396
171,[00:56:53.7625791],6641,54209,32464
172,[00:56:53.8379075],4749,53386,35767
173,[00:56:53.9138080],8004,46853,34524
174,[00:56:53.9880449],11539,51157,32961
175,[00:56:54.0628442],10267,49399,32686
176,[00:56:54.1379013],9761,54673,30009
177,[00:56:54.2131352],8662,52127,29250
178,[00:56:54.2881306],8958,54450,32293
179,[00:56:54.3632642],10985,53014,29748
180,[00:56:54.4386766],9339,45555,31902
181,[00:56:54.5146159],7635,49528,34019
182,[00:56:54.5891718],9556,52503,32397
183,[00:56:54.6643232],8339,54320,31887
184,[00:56:54.7386922],12447,53419,31791
185,[00:56:54.8138856],8158,52659,29538
186,[00:56:54.8892571],10305,51100,36343
187,[00:56:54.9644693],11094,52772,29876
188,[00:56:55.0399462],8066,46009,33040
189,[00:56:55.1152025],8887,50389,35392
190,[00:56:55.1899396],9074,52210,33432
191,[00:56:55.2642164],7949,56394,28210
192,[00:56:55.3393588],11374,49342,34502
193,[00:56:55.4143662],6935,56052,32690
194,[00:56:55.4894748],12708,51769,31523
195,[00:56:55.5651683],13077,46641,31184
196,[00:56:55.6403949],11103,52117,33970
197,[00:56:55.7155706],8189,47061,27831
198,[00:56:55.7906081],13964,56251,32346
199,[00:56:55.8647489],9334,46881,33575
200,[00:56:55.9406629],9591,48921,31813
201,[00:56:56.0151794],11766,47797,31687
202,[00:56:56.0900012],8762,56759,29019
203,[00:56:56.1649204],11669,54758,28712
204,[00:56:56.2409788],9282,59226,37505
205,[00:56:56.3151382],8176,49640,34730
206,[00:56:56.3903907],9226,47373,33898
207,[00:56:56.4652907],10986,49417,30842
208,[00:56:56.5405576],10199,53567,30094
209,[00:56:56.6153731],11658,48508,34076
210,[00:56:56.6906997],11724,50747,28746
211,[00:56:56.7658689],9592,47951,29201
212,[00:56:56.8409431],8714,56646,27643
213,[00:56:56.9159829],12077,55096,34287
214,[00:56:56.9910792],9045,55053,34666
215,[00:56:57.0658797],10181,52076,30286
216,[00:56:57.1420285],8231,52448,36194
217,[00:56:57.2163936],9013,49401,31793
218,[00:56:57.2915604],10047,59463,35040
219,[00:56:57.3664207],7771,52407,30074
220,[00:56:57.4414124],8674,54392,31211
221,[00:56:57.5165602],10399,50100,28912
222,[00:56:57.5916152],11481,51657,30660
223,[00:56:57.6668482],11410,53278,32183
224,[00:56:57.7418964],11438,50275,29393
225,[00:56:57.8172231],8238,53872,30850
226,[00:56:57.8930191],7457,51476,30705
227,[00:56:57.9673216],12360,52508,32693
228,[00:56:58.0419266],9636,51311,32235
229,[00:56:58.1169699],9570,59406,29587
230,[00:56:58.1921731],8844,50564,33383
231,[00:56:58.2670879],9974,57358,30789
232,[00:56:58.3422430],10265,51208,29296
233,[00:56:58.4176591],7273,54966,33974
234,[00:56:58.4929349],10428,54626,34457
235,[00:56:58.5681448],11935,56112,31447
236,[00:56:58.6452179],9459,53652,33990
237,[00:56:58.7184926],7473,53877,33015
238,[00:56:58.7938298],12360,50271,32040
239,[00:56:58.8684594],8956,48757,28948
240,[00:56:58.9434381],10528,51636,36315
241,[00:56:59.0178647],9524,51206,35869
242,[00:56:59.0934151],10314,52444,32044
243,[00:56:59.1693208],9482,55411,34640
244,[00:56:59.2468404],10303,51716,33703
245,[00:56:59.3187396],9292,48107,29186
246,[00:56:59.3944659],11168,48065,35474
247,[00:56:59.4686610],12265,55981,35859
248,[00:56:59.5432530],9736,49534,33530
249,[00:56:59.6193834],8712,47843,31651
250,[00:56:59.6933890],9151,56736,30120
251,[00:56:59.7691244],8754,55607,34538
252,[00:56:59.8441440],10635,51218,32725
253,[00:56:59.9189434],11519,52405,31575
254,[00:56:59.9937925],11744,46522,31060
