Predicted duration,14.6,,,
Predicted error,1.2,,,
Predicted start,01:44:06,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
141,[01:43:43.2166279],21143,16246,4154
142,[01:43:43.2670325],16344,21068,4687
143,[01:43:43.3177751],14538,16950,2012
144,[01:43:43.3672306],15576,18345,4172
145,[01:43:43.4172774],17223,20516,7017
146,[01:43:43.4686619],17756,18783,5824
147,[01:43:43.5176881],16018,19182,3266
148,[01:43:43.5677275],14136,15935,2931
149,[01:43:43.6179937],14181,18053,3650
150,[01:43:43.6676935],14827,14638,2263
151,[01:43:43.7184568],20591,17355,3622
152,[01:43:43.7694617],18796,17743,4418
153,[01:43:43.8186582],20569,15552,3627
154,[01:43:43.8691239],15639,13813,2423
155,[01:43:43.9194741],17624,15724,4339
156,[01:43:43.9677669],15074,17804,2483
157,[01:43:44.0194314],13048,14297,1769
158,[01:43:44.0681220],17182,10224,3106
159,[01:43:44.1193865],18959,15914,2944
160,[01:43:44.1696606],15573,13725,3947
161,[01:43:44.2180463],15444,12646,3446
162,[01:43:44.2697297],14643,11582,2730
163,[01:43:44.3210441],16165,8099,1827
164,[01:43:44.3683564],18860,9706,4503
165,[01:43:44.4189016],16502,8292,2429
166,[01:43:44.4685968],20276,10807,2363
167,[01:43:44.5185636],17779,11985,3773
168,[01:43:44.5690770],16144,8751,3775
169,[01:43:44.6191661],21921,15346,5921
170,[01:43:44.6691854],17320,13632,2530
171,[01:43:44.7189947],19323,16628,4965
172,[01:43:44.7701344],20945,12057,7710
173,[01:43:44.8214064],23421,14820,5496
174,[01:43:44.8694309],19474,17976,7386
175,[01:43:44.9191491],21180,12573,6420
176,[01:43:44.9693234],21261,14468,5863
177,[01:43:45.0194570],19971,14295,7076
178,[01:43:45.0701009],16557,15358,5633
179,[01:43:45.1195517],23115,14104,7196
180,[01:43:45.1696790],18777,19831,7154
181,[01:43:45.2197845],16562,17460,5130
182,[01:43:45.2700953],18339,16262,6679
183,[01:43:45.3201610],17526,22084,7654
184,[01:43:45.3707067],20091,15501,5916
185,[01:43:45.4201347],22339,18381,6678
186,[01:43:45.4700912],19161,18429,4308
187,[01:43:45.5199915],18024,18442,9866
188,[01:43:45.5703014],21711,16049,8688
189,[01:43:45.6201575],18935,15241,7423
190,[01:43:45.6707341],24505,18561,7004
191,[01:43:45.7207457],18708,17302,7925
192,[01:43:45.7716847],17211,18032,6247
193,[01:43:45.8213734],21458,18172,7980
194,[01:43:45.8729597],18520,17103,7338
195,[01:43:45.9210241],18674,16616,3437
196,[01:43:45.9709268],24304,19352,6873
197,[01:43:46.0210392],21046,17352,6622
198,[01:43:46.0708798],21765,15460,7581
199,[01:43:46.1210471],25396,14739,6245
200,[01:43:46.1710371],20874,18914,8538
201,[01:43:46.2211597],16330,13321,8677
202,[01:43:46.2716340],23929,20893,6780
203,[01:43:46.3216998],21488,19489,7292
204,[01:43:46.3714870],17881,20962,4901
205,[01:43:46.4216707],18217,19475,7707
206,[01:43:46.4728113],20359,19851,6797
207,[01:43:46.5220580],21763,23830,7851
208,[01:43:46.5717358],21630,20702,6614
209,[01:43:46.6219217],23476,14483,7003
210,[01:43:46.6720446],19727,18160,7314
211,[01:43:46.7219666],19285,20849,6941
212,[01:43:46.7722436],22712,14059,10436
213,[01:43:46.8219987],20051,12712,8148
214,[01:43:46.8722395],20181,19467,7937
215,[01:43:46.9223984],23736,16217,10203
216,[01:43:46.9723143],25492,15792,10375
217,[01:43:47.0224760],22254,16170,7428
218,[01:43:47.0726838],25282,18170,11246
219,[01:43:47.1226393],22248,14807,8587
220,[01:43:47.1729463],21596,15522,8278
221,[01:43:47.2227123],24244,19977,8460
222,[01:43:47.2730117],29535,17641,7126
223,[01:43:47.3227867],22866,19386,8824
224,[01:43:47.3730797],22187,15910,6219
225,[01:43:47.4231270],22846,16874,9156
226,[01:43:47.4730590],24898,16344,8268
227,[01:43:47.5233954],21070,17036,7416
228,[01:43:47.5738844],19382,20363,7601
229,[01:43:47.6232477],21723,19644,6487
230,[01:43:47.6736482],19382,21829,9960
231,[01:43:47.7234102],23280,17648,7157
232,[01:43:47.7739648],23644,15369,7763
233,[01:43:47.8244094],23008,17770,8073
234,[01:43:47.8737171],19344,21677,7693
235,[01:43:47.9237555],17101,14839,9062
236,[01:43:47.9737768],16678,19657,7681
237,[01:43:48.0240578],20662,23276,6921
238,[01:43:48.0742954],24490,20731,7977
239,[01:43:48.1240566],25125,19307,8516
240,[01:43:48.1741049],21174,21840,7638
241,[01:43:48.2243962],23366,18306,8657
242,[01:43:48.2746177],24022,23619,7440
243,[01:43:48.3243570],21558,24590,7741
244,[01:43:48.3744382],24682,23257,8039
245,[01:43:48.4247478],23510,22535,6234
246,[01:43:48.4746323],22448,21277,7008
247,[01:43:48.5246571],22777,17840,9455
248,[01:43:48.5749342],17754,19728,7476
249,[01:43:48.6248215],21977,19251,7012
250,[01:43:48.6751722],22974,20155,4364
251,[01:43:48.7249655],20344,21053,6790
252,[01:43:48.7752430],19598,23617,7270
253,[01:43:48.8252210],21097,19567,7852
254,[01:43:48.8752604],22810,16210,6001
255,[01:43:48.9253222],23437,17542,7224
256,[01:43:48.9754970],19940,22155,6772
257,[01:43:49.0255517],23699,19230,7391
258,[01:43:49.0755212],18484,19844,8068
259,[01:43:49.1255882],22323,19588,5964
260,[01:43:49.1759353],21763,19361,6863
261,[01:43:49.2260429],23199,21315,6711
262,[01:43:49.2763479],25471,20509,9145
263,[01:43:49.3261912],19804,22519,5036
264,[01:43:49.3762691],20707,18010,6973
265,[01:43:49.4264186],22828,19156,6405
266,[01:43:49.4763261],22244,17268,8154
267,[01:43:49.5265789],25189,19391,10113
268,[01:43:49.5766938],19810,20518,5486
269,[01:43:49.6265733],18759,19761,4745
270,[01:43:49.6765298],21609,17501,6038
271,[01:43:49.7265442],22201,18914,5318
272,[01:43:49.7773079],20789,22304,7450
273,[01:43:49.8268819],21211,18546,9273
274,[01:43:49.8767704],26577,20876,9064
275,[01:43:49.9268551],21972,18128,7949
276,[01:43:49.9773449],18525,17799,12663
277,[01:43:50.0277733],22732,22077,6376
278,[01:43:50.0774816],19279,23355,7195
279,[01:43:50.1274522],23217,21570,8482
280,[01:43:50.1772233],26745,17884,7797
281,[01:43:50.2273588],25537,20999,7407
282,[01:43:50.2775418],21891,24532,9912
283,[01:43:50.3275257],23961,20742,10835
284,[01:43:50.3776569],23551,21964,8324
285,[01:43:50.4276434],21945,21195,8849
286,[01:43:50.4776094],24608,22586,10969
287,[01:43:50.5277011],23420,26814,11228
288,[01:43:50.5777789],23494,20105,10853
289,[01:43:50.6278715],20464,21707,10174
290,[01:43:50.6780976],20413,22806,6717
291,[01:43:50.7280018],21649,21804,7397
292,[01:43:50.7783852],21644,25506,9398
293,[01:43:50.8287712],23836,21997,6032
294,[01:43:50.8785548],25923,23871,6148
295,[01:43:50.9285797],22455,21937,8060
296,[01:43:50.9788385],23207,23282,8507
297,[01:43:51.0285714],23560,24480,7056
298,[01:43:51.0787137],20867,23307,8386
299,[01:43:51.1285419],20082,20773,6607
300,[01:43:51.1789190],21810,23027,9246
301,[01:43:51.2290221],22858,21033,7978
302,[01:43:51.2791188],28734,23063,10856
303,[01:43:51.3290644],22976,21324,10039
304,[01:43:51.3789957],25922,20414,9105
305,[01:43:51.4290664],21354,23996,7757
306,[01:43:51.4791385],20333,23896,5766
307,[01:43:51.5293487],22728,22879,8407
308,[01:43:51.5797850],22164,23457,8113
309,[01:43:51.6296653],25771,24053,7602
310,[01:43:51.6797224],25390,23334,9927
311,[01:43:51.7295360],24443,20579,8862
312,[01:43:51.7798658],19143,21136,7719
313,[01:43:51.8296847],22859,23938,11045
314,[01:43:51.8797361],23826,24723,5714
315,[01:43:51.9297956],25304,20839,7382
316,[01:43:51.9802259],22532,21071,6123
317,[01:43:52.0300920],22124,19044,8193
318,[01:43:52.0800973],23247,22543,8255
319,[01:43:52.1300937],24299,22160,6590
320,[01:43:52.1806256],21774,19416,7909
321,[01:43:52.2308681],26877,22662,10257
322,[01:43:52.2805884],22948,18531,9985
323,[01:43:52.3304351],19820,22193,6329
324,[01:43:52.3804928],20186,21504,9267
325,[01:43:52.4306862],20087,19112,9079
326,[01:43:52.4808192],24496,21131,7006
327,[01:43:52.5306639],17927,19501,6292
328,[01:43:52.5807579],20480,18218,5859
329,[01:43:52.6310169],24634,19646,9416
330,[01:43:52.6810540],23858,21594,7872
331,[01:43:52.7310619],24897,22869,10009
332,[01:43:52.7820006],22790,22933,8790
333,[01:43:52.8316125],22522,22170,6929
334,[01:43:52.8816060],23000,24294,4960
335,[01:43:52.9316779],23335,22716,4983
336,[01:43:52.9828496],26375,20864,7042
337,[01:43:53.0318522],23406,23259,7224
338,[01:43:53.0816404],21433,25449,8027
339,[01:43:53.1317411],20078,26519,7918
340,[01:43:53.1818436],20930,25958,8257
341,[01:43:53.2319779],22321,23450,7284
342,[01:43:53.2827160],19601,22608,5947
343,[01:43:53.3327860],21554,24402,8237
344,[01:43:53.3826759],20836,21477,7623
345,[01:43:53.4332689],19071,19531,8270
346,[01:43:53.4834910],23202,19781,5942
347,[01:43:53.5337257],19657,22966,9612
348,[01:43:53.5842495],21392,21436,6580
349,[01:43:53.6335364],20038,20717,8701
350,[01:43:53.6827979],24129,21604,4773
351,[01:43:53.7329641],22661,19373,7002
352,[01:43:53.7831149],21368,21414,5346
353,[01:43:53.8329904],23825,20803,8035
354,[01:43:53.8836246],22576,17640,7349
355,[01:43:53.9336037],20232,18059,8646
356,[01:43:53.9835658],19709,16010,4611
357,[01:43:54.0335685],22250,15932,6035
358,[01:43:54.0839241],20066,19836,4950
359,[01:43:54.1347503],20154,22115,6033
360,[01:43:54.1849769],19871,18751,7040
361,[01:43:54.2352137],22844,19185,6331
362,[01:43:54.2852532],20031,26545,8320
363,[01:43:54.3346280],21202,13685,9564
364,[01:43:54.3853937],23822,12298,8091
365,[01:43:54.4351570],17535,18209,5798
366,[01:43:54.4845206],23475,19964,7983
367,[01:43:54.5340287],20903,18882,5635
368,[01:43:54.5840634],21837,19405,5898
369,[01:43:54.6341487],20370,18564,4712
370,[01:43:54.6842453],18661,18623,8703
371,[01:43:54.7345768],21049,18520,9868
372,[01:43:54.7856121],22201,19643,7444
373,[01:43:54.8355618],22518,23090,7967
374,[01:43:54.8843978],22030,20744,7359
375,[01:43:54.9354096],23763,16228,10012
376,[01:43:54.9845926],20254,22129,7325
377,[01:43:55.0347526],24701,20427,5026
378,[01:43:55.0848842],22850,20192,11564
379,[01:43:55.1347936],22014,21532,8247
380,[01:43:55.1853412],20577,18640,8604
381,[01:43:55.2351184],21148,16049,8785
382,[01:43:55.2860226],17553,23797,7190
383,[01:43:55.3365228],17359,21308,4624
384,[01:43:55.3853363],21471,21251,6468
385,[01:43:55.4353435],18967,22003,9804
386,[01:43:55.4851846],24376,27245,7605
387,[01:43:55.5356090],24372,22934,7586
388,[01:43:55.5857718],23544,24965,10605
389,[01:43:55.6356023],19952,21522,6464
390,[01:43:55.6855978],24272,21194,5520
391,[01:43:55.7361993],22849,22412,8791
392,[01:43:55.7858798],23521,20040,7982
393,[01:43:55.8357581],23364,22169,10276
394,[01:43:55.8859971],22561,24368,8958
395,[01:43:55.9358818],21820,26275,6977
396,[01:43:55.9864807],25282,24966,10019
397,[01:43:56.0365615],21370,29405,10964
398,[01:43:56.0863829],21845,22217,9379
399,[01:43:56.1364074],21091,24185,7540
400,[01:43:56.1863657],24454,23060,9763
401,[01:43:56.2364194],20723,22104,7707
402,[01:43:56.2870852],22328,20536,5141
403,[01:43:56.3372011],22277,21582,8000
404,[01:43:56.3871544],23836,18994,8007
405,[01:43:56.4369930],23685,19814,6910
406,[01:43:56.4869996],20267,22656,6467
407,[01:43:56.5377491],19902,17519,9521
408,[01:43:56.5893580],21228,21242,7293
409,[01:43:56.6373890],23058,19027,7656
410,[01:43:56.6873267],22525,19019,8673
411,[01:43:56.7376589],22041,16942,6348
412,[01:43:56.7875924],22313,19173,3309
413,[01:43:56.8374699],22283,22508,6129
414,[01:43:56.8873876],21849,21288,6197
415,[01:43:56.9376813],22297,25330,9126
416,[01:43:56.9879169],23495,24316,7057
417,[01:43:57.0377083],19169,24880,7826
418,[01:43:57.0879496],23394,29462,9004
419,[01:43:57.1379930],24109,28363,7640
420,[01:43:57.1882686],25586,23460,8878
421,[01:43:57.2380987],19748,19320,7758
422,[01:43:57.2887496],20848,22166,7428
423,[01:43:57.3386604],22891,21382,8404
424,[01:43:57.3882841],18597,24706,9264
425,[01:43:57.4381656],24558,20252,9534
426,[01:43:57.4882106],18960,21885,9411
427,[01:43:57.5383836],20015,24563,9631
428,[01:43:57.5892470],24015,22710,9698
429,[01:43:57.6389941],29689,23618,8411
430,[01:43:57.6886278],22576,24423,9022
431,[01:43:57.7386985],25492,23582,9238
432,[01:43:57.7890992],22414,20577,8917
433,[01:43:57.8390673],26064,21269,7781
434,[01:43:57.8890685],22816,22031,10088
435,[01:43:57.9390575],24602,29378,8313
436,[01:43:57.9890324],21387,29117,7667
437,[01:43:58.0390510],24883,27490,10613
438,[01:43:58.0893853],26736,27438,7197
439,[01:43:58.1393603],25903,27337,8846
440,[01:43:58.1893341],27291,25159,9066
441,[01:43:58.2394528],25052,25735,9958
442,[01:43:58.2899124],23436,24512,7764
443,[01:43:58.3397725],19012,22141,9031
444,[01:43:58.3896189],24747,19950,6513
445,[01:43:58.4397379],22576,23652,11679
446,[01:43:58.4899902],21161,25617,9641
447,[01:43:58.5400499],21647,22551,7914
448,[01:43:58.5903034],25803,23078,9887
449,[01:43:58.6402486],24333,22941,10207
450,[01:43:58.6904265],24888,21271,9146
451,[01:43:58.7408857],26154,25413,10717
452,[01:43:58.7905489],26032,20181,8294
453,[01:43:58.8406457],20667,18291,5925
454,[01:43:58.8903815],21206,21970,10152
455,[01:43:58.9406361],23035,22453,9429
456,[01:43:58.9905367],23851,23967,10998
457,[01:43:59.0411606],25728,23183,10410
458,[01:43:59.0907957],22493,23443,7778
459,[01:43:59.1413351],19953,23203,8508
460,[01:43:59.1911109],25966,26010,11601
461,[01:43:59.2410899],26433,24128,6151
462,[01:43:59.2917879],23719,25867,8714
463,[01:43:59.3414718],19381,25490,9818
464,[01:43:59.3917526],20834,29977,9495
465,[01:43:59.4416285],23301,28816,9300
466,[01:43:59.4919130],22477,28392,10473
467,[01:43:59.5415751],23184,24512,5566
468,[01:43:59.5916544],19565,27388,7772
469,[01:43:59.6416209],23522,28347,9097
470,[01:43:59.6915913],22667,19977,8500
471,[01:43:59.7416386],25425,21181,8499
472,[01:43:59.7920009],29220,19912,9396
473,[01:43:59.8422527],25892,20961,10351
474,[01:43:59.8923882],24486,22181,8628
475,[01:43:59.9424000],23868,19449,5921
476,[01:43:59.9923513],26881,19827,7575
477,[01:44:00.0423690],23525,24158,6127
478,[01:44:00.0924688],20317,25476,6068
479,[01:44:00.1425272],24176,25239,7601
480,[01:44:00.1924715],21899,23815,7819
481,[01:44:00.2426476],23373,23318,7833
482,[01:44:00.2930211],21742,23984,6438
483,[01:44:00.3431560],19448,23002,10208
484,[01:44:00.3932781],16686,19038,7657
485,[01:44:00.4429141],19774,23206,5247
486,[01:44:00.4935204],19311,21229,9707
487,[01:44:00.5432421],19149,24103,9089
488,[01:44:00.5932923],19741,26196,8645
489,[01:44:00.6432769],18288,22307,11326
490,[01:44:00.6932965],16852,29595,9009
491,[01:44:00.7434855],18926,23708,8147
492,[01:44:00.7938580],15047,27125,10160
493,[01:44:00.8440397],16133,25473,7460
494,[01:44:00.8934556],17291,20326,9419
495,[01:44:00.9435561],17492,26184,8455
496,[01:44:00.9938495],20026,21205,7818
497,[01:44:01.0438127],19121,22786,5561
498,[01:44:01.0940610],19078,24718,8047
499,[01:44:01.1438061],16917,21704,10720
500,[01:44:01.1940174],17496,25018,7731
501,[01:44:01.2444026],14580,18680,5431
502,[01:44:01.2942843],15729,19067,7438
503,[01:44:01.3441941],16088,25583,9288
504,[01:44:01.3943882],18388,22335,8871
505,[01:44:01.4444485],18007,18691,5031
506,[01:44:01.4945819],17423,19403,9944
507,[01:44:01.5446380],18009,21824,7449
508,[01:44:01.5949327],18984,17435,9619
509,[01:44:01.6446693],14956,24609,11663
510,[01:44:01.6946903],19096,25002,9193
511,[01:44:01.7447710],16465,24721,6990
512,[01:44:01.7951572],14008,18999,10303
513,[01:44:01.8450338],16331,24763,9551
514,[01:44:01.8956667],19519,21029,11863
515,[01:44:01.9455286],17189,25191,9919
516,[01:44:01.9955481],18317,22777,8252
517,[01:44:02.0453555],20901,24523,10667
518,[01:44:02.0953227],20494,25062,10461
519,[01:44:02.1455869],17124,25157,7751
520,[01:44:02.1956955],18975,22326,11093
521,[01:44:02.2456487],17878,24002,9744
522,[01:44:02.2958387],17319,24264,7397
523,[01:44:02.3458153],18501,24845,8058
524,[01:44:02.3957670],18250,27252,10280
525,[01:44:02.4459170],18684,24419,8037
526,[01:44:02.4958788],16751,25654,8901
527,[01:44:02.5462680],22225,21603,9528
528,[01:44:02.5962410],16957,24904,9194
529,[01:44:02.6464853],16372,26663,11514
530,[01:44:02.6964469],16701,25890,10171
531,[01:44:02.7462594],18430,24144,7720
532,[01:44:02.7966859],18069,23160,9295
533,[01:44:02.8470724],16463,22094,9634
534,[01:44:02.8969116],16172,23470,10630
535,[01:44:02.9467340],19417,27600,7759
536,[01:44:02.9968753],22787,20008,8728
537,[01:44:03.0467540],20471,22646,8086
538,[01:44:03.0971500],17781,22819,7986
539,[01:44:03.1468866],17382,21738,8930
540,[01:44:03.1970399],15471,21860,7573
541,[01:44:03.2471284],15532,23261,11495
542,[01:44:03.2973576],18800,22704,6436
543,[01:44:03.3473269],17162,23188,8761
544,[01:44:03.3973442],16412,21293,9312
545,[01:44:03.4474144],17821,22477,8672
546,[01:44:03.4975692],20999,18258,9314
547,[01:44:03.5479357],13602,24857,8342
548,[01:44:03.5979754],17440,24390,12813
549,[01:44:03.6478320],16085,24305,7626
550,[01:44:03.6978227],18104,19092,9065
551,[01:44:03.7479674],19093,25872,10236
552,[01:44:03.7981252],15882,25647,10347
553,[01:44:03.8482416],18354,27272,11071
554,[01:44:03.8981166],20660,24709,8387
555,[01:44:03.9483153],18200,22845,9736
556,[01:44:03.9983340],17236,17119,9153
557,[01:44:04.0486650],20598,23062,11712
558,[01:44:04.0988013],20645,25011,10462
559,[01:44:04.1486339],19115,20002,7219
560,[01:44:04.1988050],21386,20990,9356
561,[01:44:04.2505445],21900,21445,9684
562,[01:44:04.2991089],19358,24432,10298
563,[01:44:04.3497511],21017,24727,8213
564,[01:44:04.3991736],20924,25216,10962
565,[01:44:04.4491381],15474,24269,8388
566,[01:44:04.5003371],17981,23846,9153
567,[01:44:04.5504928],17580,23104,9203
568,[01:44:04.6003366],22342,22997,7795
569,[01:44:04.6509166],21207,20171,11291
570,[01:44:04.7007600],18554,22144,6471
571,[01:44:04.7506446],21253,27088,8216
572,[01:44:04.8013227],19259,21468,5835
573,[01:44:04.8507965],23856,23496,10275
