Predicted duration,5.0,,,
Predicted error,3.8,,,
Predicted start,04:57:35,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
141,[04:56:06.8789667],4078,396326,111985
142,[04:56:07.0290610],5522,305959,138556
143,[04:56:07.1791554],10497,390364,124007
144,[04:56:07.3292498],2688,239421,104164
145,[04:56:07.4793443],12534,277842,101154
146,[04:56:07.6294387],3151,335287,96675
147,[04:56:07.7795331],8371,299958,102584
148,[04:56:07.9296275],7327,272504,122841
149,[04:56:08.0797218],9343,310121,103933
150,[04:56:08.2298162],8441,310964,101809
151,[04:56:08.3799106],4317,321234,83066
152,[04:56:08.5300050],7473,270975,108335
153,[04:56:08.6800994],8800,236462,88703
154,[04:56:08.8301938],11224,307235,110615
155,[04:56:08.9802882],6140,380322,113300
156,[04:56:09.1303825],11173,337861,135508
157,[04:56:09.2804769],6885,286330,116338
158,[04:56:09.4305713],5956,354052,137181
159,[04:56:09.5806657],9455,318441,125499
160,[04:56:09.7307601],6451,298857,117534
161,[04:56:09.8808545],9243,370398,112135
162,[04:56:10.0309489],8397,312807,109355
163,[04:56:10.1810433],4108,380827,134548
164,[04:56:10.3311377],3922,239144,112030
165,[04:56:10.4812321],3858,260938,132264
166,[04:56:10.6313265],11389,303945,114714
167,[04:56:10.7814210],10276,324066,73679
168,[04:56:10.9315154],3259,400922,132961
169,[04:56:11.0816097],8820,292774,127342
170,[04:56:11.2317041],6849,342340,97959
171,[04:56:11.3817985],4628,330999,106981
172,[04:56:11.5318929],6350,279141,114644
173,[04:56:11.6819873],8145,238048,103163
174,[04:56:11.8320817],13235,289645,98530
175,[04:56:11.9821761],6738,367537,134401
176,[04:56:12.1322704],8589,343204,96247
177,[04:56:12.2823648],12127,313656,91885
178,[04:56:12.4324592],5170,358838,117869
179,[04:56:12.5825536],8871,235891,120388
180,[04:56:12.7326480],11972,271001,106407
181,[04:56:12.8827424],11616,302196,114892
182,[04:56:13.0328367],4196,341333,137468
183,[04:56:13.1829311],11779,376038,151886
184,[04:56:13.3330255],7894,353222,105203
185,[04:56:13.4831199],6859,392368,128563
186,[04:56:13.6332143],2302,348923,124353
187,[04:56:13.7833087],8395,312676,147267
188,[04:56:13.9334031],7622,323994,93876
