Predicted duration,1.3,,,
Predicted error,0.6,,,
Predicted start,02:16:08,,,
Notes,starts from frame 1 and first ~100 frames are 'dropped frames'. incorrect data because the cpu was overloaded,,,
FrameNum,timeInfo,signal-target,signal-track1
156,[02:15:51.0473633],12319,569383
157,[02:15:51.0983112],14822,573960
158,[02:15:51.1488297],11284,542679
159,[02:15:51.2007164],11283,498601
160,[02:15:51.2541196],10261,532700
161,[02:15:51.2977515],11253,524902
162,[02:15:51.3498039],10088,539934
163,[02:15:51.3988022],12090,523592
164,[02:15:51.4512307],9630,542199
165,[02:15:51.4979646],11926,562336
166,[02:15:51.5496621],14530,564647
167,[02:15:51.5976963],13152,534601
168,[02:15:51.6503247],10164,539648
169,[02:15:51.6996334],12870,536029
170,[02:15:51.7562561],11565,537255
171,[02:15:51.7999500],13495,509353
172,[02:15:51.8493433],9720,540326
173,[02:15:51.9012745],12053,565579
174,[02:15:51.9564765],12181,553397
175,[02:15:52.0004283],13492,547315
176,[02:15:52.0528637],12274,549930
177,[02:15:52.0997421],13493,530503
178,[02:15:52.1517964],12974,527046
179,[02:15:52.2005271],14106,535238
180,[02:15:52.2505161],12959,556865
181,[02:15:52.3010120],13350,568380
182,[02:15:52.3498926],14034,560713
183,[02:15:52.4012103],13912,522732
184,[02:15:52.4534758],12956,544850
185,[02:15:52.5001472],14137,529056
186,[02:15:52.5501693],12879,522254
187,[02:15:52.6002983],12094,548161
188,[02:15:52.6509164],8170,564770
189,[02:15:52.7009206],9392,569250
190,[02:15:52.7506036],12154,536869
191,[02:15:52.8009849],11447,559078
192,[02:15:52.8509647],11924,525200
193,[02:15:52.9018501],9112,538335
194,[02:15:52.9512419],12245,524223
195,[02:15:53.0016523],12222,520756
196,[02:15:53.0511804],11868,541296
197,[02:15:53.1010893],11676,525772
198,[02:15:53.1513314],9585,491183
199,[02:15:53.2017500],12180,526867
200,[02:15:53.2521931],13413,508780
201,[02:15:53.3011165],10693,540719
202,[02:15:53.3504337],11171,547210
203,[02:15:53.4012403],11409,577759
204,[02:15:53.4514832],12490,553719
205,[02:15:53.5011576],10391,535838
206,[02:15:53.5512046],10864,543281
207,[02:15:53.6012585],10383,544007
208,[02:15:53.6510172],9528,543125
209,[02:15:53.7019115],10319,567514
210,[02:15:53.7516388],10996,568736
