Predicted duration,0.52,,,
Predicted error,0.2,,,
Predicted start,00:22:05,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1
164,[00:21:53.3671708],36583,374480
165,[00:21:53.4172490],37310,358353
166,[00:21:53.4670926],34581,368398
167,[00:21:53.5173355],32595,365235
168,[00:21:53.5673720],35770,363173
169,[00:21:53.6179150],35846,350015
170,[00:21:53.6677454],36361,375171
171,[00:21:53.7175556],34339,360612
172,[00:21:53.7679331],40428,343463
173,[00:21:53.8179526],38997,370683
174,[00:21:53.8681627],36467,362922
175,[00:21:53.9179699],38754,355952
176,[00:21:53.9674016],36757,349115
177,[00:21:54.0177691],34575,373034
178,[00:21:54.0675572],30194,374554
179,[00:21:54.1183243],28554,374758
180,[00:21:54.1680731],31112,362425
181,[00:21:54.2186841],36059,351974
182,[00:21:54.2673843],35203,350440
183,[00:21:54.3181686],34674,363123
184,[00:21:54.3685589],32359,347457
185,[00:21:54.4186029],32863,355079
186,[00:21:54.4679869],36092,350030
187,[00:21:54.5182477],30840,369516
188,[00:21:54.5682969],32639,359422
189,[00:21:54.6185684],30596,361313
190,[00:21:54.6691668],30719,362425
191,[00:21:54.7183157],35034,361037
192,[00:21:54.7687310],32651,362691
193,[00:21:54.8184530],35745,357431
194,[00:21:54.8688936],34508,355216
195,[00:21:54.9195251],33100,352791
196,[00:21:54.9708284],35692,357291
197,[00:21:55.0190189],36499,363373
198,[00:21:55.0696079],38229,375560
199,[00:21:55.1194760],34219,366908
200,[00:21:55.1696459],35116,349645
201,[00:21:55.2189400],38412,360338
202,[00:21:55.2692778],35679,366174
203,[00:21:55.3199433],38759,356602
204,[00:21:55.3693997],35514,360309
205,[00:21:55.4203812],39219,362356
206,[00:21:55.4693000],36531,355073
207,[00:21:55.5199927],39371,347172
208,[00:21:55.5695357],41332,351725
209,[00:21:55.6197133],39512,369941
210,[00:21:55.6701273],34082,361831
211,[00:21:55.7199672],40837,373705
212,[00:21:55.7704186],40611,372272
213,[00:21:55.8204896],40222,358946
214,[00:21:55.8711814],38207,372977
215,[00:21:55.9213479],38436,368810
216,[00:21:55.9712051],39723,360194
217,[00:21:56.0201845],41394,357363
218,[00:21:56.0709941],38378,369456
219,[00:21:56.1210986],42969,381958
220,[00:21:56.1712468],39726,380041
221,[00:21:56.2204817],40046,367597
222,[00:21:56.2711940],36542,382729
223,[00:21:56.3210005],34519,372198
224,[00:21:56.3717312],41335,379748
225,[00:21:56.4215938],38470,358717
226,[00:21:56.4722428],37067,363496
