Predicted duration,22.4,,,
Predicted error,0.7,,,
Predicted start,03:56:57,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
141,[03:56:30.7353053],13801,42962,7856
142,[03:56:30.7554492],15747,46505,5898
143,[03:56:30.7756635],14883,42569,5502
144,[03:56:30.7958037],12456,45300,4469
145,[03:56:30.8156879],14391,45295,3444
146,[03:56:30.8356801],12905,43434,5364
147,[03:56:30.8558811],12039,46994,6271
148,[03:56:30.8759281],14082,49197,5026
149,[03:56:30.8961658],15205,47826,5495
150,[03:56:30.9161377],16528,47451,7672
151,[03:56:30.9362628],15317,44054,7022
152,[03:56:30.9562895],15634,48676,5684
153,[03:56:30.9762481],14245,48430,4841
154,[03:56:30.9964617],14115,43607,6094
155,[03:56:31.0164898],14463,42413,6690
156,[03:56:31.0366271],15282,44270,3706
157,[03:56:31.0566263],16116,47272,6555
158,[03:56:31.0766984],16180,42020,2732
159,[03:56:31.0968730],13854,44662,3309
160,[03:56:31.1169761],14498,49897,4082
161,[03:56:31.1369485],14339,49291,4431
162,[03:56:31.1569405],14845,48403,1925
163,[03:56:31.1771031],14953,45371,5300
164,[03:56:31.1971261],15463,46194,4918
165,[03:56:31.2171912],16804,45470,6485
166,[03:56:31.2372022],13922,44657,5722
167,[03:56:31.2573566],15067,45962,4844
168,[03:56:31.2774990],16476,50153,4414
169,[03:56:31.2976571],16358,49291,5593
170,[03:56:31.3177258],14233,47277,4617
171,[03:56:31.3377782],12850,47723,5084
172,[03:56:31.3577892],12991,45245,6221
173,[03:56:31.3778310],11358,47355,1844
174,[03:56:31.3979230],12601,48202,3073
175,[03:56:31.4181663],13883,48469,4663
176,[03:56:31.4380991],14671,45634,4596
177,[03:56:31.4583629],15807,46822,4150
178,[03:56:31.4782800],16130,45375,7805
179,[03:56:31.4983007],11149,41972,4204
180,[03:56:31.5194040],14317,45667,5567
181,[03:56:31.5385547],14985,46912,2637
182,[03:56:31.5585605],12808,45877,3480
183,[03:56:31.5787206],14279,45283,5327
184,[03:56:31.5987863],13548,43404,5679
185,[03:56:31.6188104],13263,40618,5955
186,[03:56:31.6389595],14513,46895,8537
187,[03:56:31.6589674],16715,44918,5778
188,[03:56:31.6790924],14519,42457,7253
189,[03:56:31.6991080],14412,43977,7964
190,[03:56:31.7192193],11831,49014,6611
191,[03:56:31.7392949],15497,48086,6378
192,[03:56:31.7594194],12301,48789,4136
193,[03:56:31.7795957],15400,43541,6246
194,[03:56:31.7995547],11945,47921,4254
195,[03:56:31.8195505],12842,47120,4839
196,[03:56:31.8395990],13617,45320,6984
197,[03:56:31.8598477],14029,49320,6510
198,[03:56:31.8804647],14715,50894,4146
199,[03:56:31.8998632],14061,43953,6064
200,[03:56:31.9200031],14175,48786,5234
201,[03:56:31.9402337],14778,43953,4806
202,[03:56:31.9602439],12895,43341,6653
203,[03:56:31.9808432],11858,46811,5345
204,[03:56:32.0003850],13768,49496,6246
205,[03:56:32.0204714],15408,47251,5601
206,[03:56:32.0405663],15630,47657,8976
207,[03:56:32.0606373],16171,47204,7953
208,[03:56:32.0807786],17116,46447,5425
209,[03:56:32.1007991],17489,44199,5633
210,[03:56:32.1208387],17225,43822,6277
211,[03:56:32.1408649],18568,44219,7307
212,[03:56:32.1610643],15943,44102,6838
213,[03:56:32.1824141],16176,46481,5514
214,[03:56:32.2012057],12756,46250,5039
215,[03:56:32.2212782],16018,48448,6769
216,[03:56:32.2412976],15601,45302,7734
217,[03:56:32.2613810],14081,45672,5801
218,[03:56:32.2814300],15921,44864,7191
219,[03:56:32.3016079],13767,46943,6587
