Predicted duration,0.9,,,
Predicted error,0.5,,,
Predicted start,03:47:06,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
141,[03:46:48.5898806],12126,66841,28468
142,[03:46:48.7398357],10880,70329,28914
143,[03:46:48.8899245],11724,72061,27182
144,[03:46:49.0400798],11458,68476,28624
145,[03:46:49.1900542],11926,73691,29199
146,[03:46:49.3402245],12570,69767,27850
147,[03:46:49.4901284],11294,67771,30075
148,[03:46:49.6404226],12845,70280,27715
149,[03:46:49.7904285],11063,68336,30105
150,[03:46:49.9406455],11356,71175,26825
151,[03:46:50.0907834],11336,69046,28514
152,[03:46:50.2408986],11732,68139,27808
153,[03:46:50.3906181],12437,70512,28159
154,[03:46:50.5406798],12569,71826,27519
155,[03:46:50.6909817],12223,70154,27641
156,[03:46:50.8410423],10652,70423,28337
157,[03:46:50.9909524],11652,70540,28158
158,[03:46:51.1410845],12654,71025,31119
159,[03:46:51.2911567],12518,72112,26957
160,[03:46:51.4414003],11855,69504,28071
161,[03:46:51.5914681],11457,69138,28540
162,[03:46:51.7417354],11422,70365,29247
163,[03:46:51.8916045],11592,68530,28448
164,[03:46:52.0416201],10607,72529,29199
165,[03:46:52.1918783],11894,71001,29947
166,[03:46:52.3417908],12491,71322,28848
167,[03:46:52.4917509],11953,72442,29068
168,[03:46:52.6423366],13368,74799,28095
169,[03:46:52.7920054],10706,70194,30097
170,[03:46:52.9419911],12447,69364,27598
171,[03:46:53.0922759],10545,67592,26844
172,[03:46:53.2421827],12525,70760,28069
173,[03:46:53.3927884],10751,67026,28061
174,[03:46:53.5424503],11754,71278,29819
175,[03:46:53.6926731],11827,68363,28839
176,[03:46:53.8426086],12414,68286,29242
177,[03:46:53.9925686],11208,70216,27847
178,[03:46:54.1426198],12143,71563,31510
179,[03:46:54.2928022],10331,68324,29144
180,[03:46:54.4431578],12554,69849,28022
181,[03:46:54.5928995],11817,71002,26419
182,[03:46:54.7432430],10751,71380,27440
183,[03:46:54.8930843],13071,71600,27257
184,[03:46:55.0435882],11268,67683,25805
185,[03:46:55.1931838],10708,69628,26371
186,[03:46:55.3437821],12848,70635,28191
187,[03:46:55.4933786],12048,70536,29943
188,[03:46:55.6433901],11688,68385,26507
189,[03:46:55.7934895],11833,67440,26626
190,[03:46:55.9436731],11273,68936,28116
191,[03:46:56.0937014],11854,72372,28080
192,[03:46:56.2440157],10730,70467,28933
193,[03:46:56.3940105],12306,71949,27292
194,[03:46:56.5440205],11509,68707,29495
195,[03:46:56.6941262],13186,68656,28426
196,[03:46:56.8440771],10706,68100,26906
